"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
83.0461,61.8405,53.5,1,5,1,14,83.0461,83.0461,2,0.8,
83.0461,61.8405,55,2,10,2,16,83.0461,83.0461,1,0.8,
83.0461,62.867,68.5,3,15,3,17,83.0461,83.0461,2,0.8,
83.0461,62.867,69.5,4,20,4,18,83.0461,83.0461,2,0.8,
83.0461,62.867,41.5,5,25,6,19,83.0461,83.0461,2,0.8,
83.0461,62.867,57,6,30,7,21,83.0461,83.0461,2,0.8,
83.0461,62.867,61.5,7,35,8,22,83.0461,83.0461,2,0.8,
83.0461,61.7729,63,8,40,9,23,83.0461,83.0461,1,0.8,
83.0461,62.2864,70.5,9,45,11,24,83.0461,83.0461,1,0.8,
83.0461,62.0584,71,10,50,12,26,83.0461,83.0461,1,0.8,
83.0461,60.7478,62.5,11,55,13,27,83.0461,83.0461,1,0.8,
83.0461,62.5595,65.5,12,60,14,28,83.0461,83.0461,2,0.8,
83.0461,60.9643,62,13,65,16,29,83.0461,83.0461,2,0.8,
83.0461,63.7789,62.5,14,70,17,31,83.0461,83.0461,1,0.8,
83.0461,62.5595,69,15,75,18,32,83.0461,83.0461,1,0.8,
83.0461,56.2777,62,16,80,19,33,83.0461,83.0461,1,0.8,
83.0461,58.1679,69.5,17,85,21,34,83.0461,83.0461,2,0.8,
83.0461,56.0335,73.5,18,90,22,36,83.0461,83.0461,2,0.8,
83.0461,54.2217,55.5,19,95,23,37,83.0461,83.0461,2,0.8,
83.0461,54.2217,71,20,100,24,38,83.0461,70.8248,2,0.8,
83.0461,54.9881,58,21,105,26,39,83.0461,70.8248,1,0.8,
83.0461,60.7478,49.5,22,110,27,41,83.0461,70.8248,1,0.8,
83.0461,62.5595,73,23,115,28,42,83.0461,70.8248,2,0.8,
83.0461,62.5595,66.5,24,120,29,43,83.0461,70.8248,2,0.8,
83.0461,62.5595,73.5,25,125,31,44,83.0461,70.8248,2,0.8,
83.0461,62.5595,68,26,130,32,46,83.0461,70.8248,2,0.8,
83.0461,64.1441,57,27,135,33,47,83.0461,70.8248,2,0.8,
83.0461,64.1441,71.5,28,140,34,48,83.0461,70.8248,2,0.8,
83.0461,64.1441,81,29,145,36,49,83.0461,70.8248,2,0.8,
83.0461,64.1441,81,30,150,37,51,83.0461,70.8248,2,0.8,
83.0461,64.1441,74.5,31,155,38,52,83.0461,70.8248,1,0.8,
83.0461,67.5783,75,32,160,39,53,83.0461,70.8248,2,0.8,
83.0461,67.5783,53.5,33,165,41,54,83.0461,70.8248,2,0.8,
83.0461,66.4238,52.5,34,170,42,56,83.0461,70.8248,2,0.8,
83.0461,66.4238,63,35,175,43,57,83.0461,70.8248,2,0.8,
83.0461,66.4502,65,36,180,44,58,83.0461,70.8248,2,0.8,
83.0461,66.4238,61,37,185,46,59,83.0461,70.8248,1,0.8,
83.0461,67.5783,64.5,38,190,47,61,83.0461,70.8248,2,0.8,
83.0461,67.5783,65,39,195,48,62,83.0461,70.8248,1,0.8,
83.0461,67.5783,55,40,200,49,63,83.0461,38.8825,2,0.8,
83.0461,67.2325,61,41,205,51,64,83.0461,38.8825,2,0.8,
83.0461,66.4238,63.5,42,210,52,66,83.0461,38.8825,1,0.8,
83.0461,66.4238,60.5,43,215,53,67,83.0461,38.8825,2,0.8,
83.0461,65.2854,52.5,44,220,54,68,83.0461,38.8825,1,0.8,
83.0461,69.6316,47.5,45,225,56,69,83.0461,38.8825,1,0.8,
83.0461,71.3533,33,46,230,57,71,83.0461,38.8825,2,0.8,
83.0461,71.3533,37,47,235,58,72,83.0461,38.8825,2,0.8,
83.0461,71.9245,27,48,240,59,73,83.0461,38.8825,2,0.8,
83.0461,71.9245,49.5,49,245,61,74,83.0461,38.8825,2,0.8,
83.0461,71.5035,52.5,50,250,62,76,83.0461,38.8825,2,0.8,
83.0461,71.5035,46.5,51,255,63,77,83.0461,38.8825,2,0.8,
83.0461,71.5035,64.5,52,260,64,78,83.0461,38.8825,2,0.8,
83.0461,71.5035,51,53,265,66,79,83.0461,38.8825,2,0.8,
83.0461,70.6353,55,54,270,67,81,83.0461,38.8825,2,0.8,
83.0461,66.4502,46.5,55,275,68,82,83.0461,38.8825,1,0.8,
83.0461,67.2325,51,56,280,69,83,83.0461,38.8825,1,0.8,
83.0461,64.8524,50.5,57,285,71,84,83.0461,38.8825,1,0.8,
83.0461,62.254,44,58,290,72,86,83.0461,38.8825,2,0.8,
83.0461,62.254,35,59,295,73,87,83.0461,38.8825,2,0.8,
83.0461,63.7316,36,60,300,74,88,83.0461,38.8825,2,0.8,
83.0461,63.0406,37.5,61,305,76,89,83.0461,38.8825,2,0.8,
83.0461,61.8405,48,62,310,77,91,83.0461,38.8825,2,0.8,
83.0461,61.8405,56,63,315,78,92,83.0461,38.8825,1,0.8,
83.0461,61.8405,53.5,64,320,79,93,83.0461,60.9643,2,0.8,
83.0461,61.8405,39.5,65,325,81,94,83.0461,60.9643,1,0.8,
83.0461,61.8405,56,66,330,82,96,83.0461,60.9643,1,0.8,
83.0461,62.867,58,67,335,83,97,83.0461,60.9643,2,0.8,
83.0461,62.867,47.5,68,340,84,98,83.0461,60.9643,2,0.8,
83.0461,61.7729,61,69,345,86,99,83.0461,60.9643,2,0.8,
83.0461,61.32,61,70,350,87,101,83.0461,60.9643,2,0.8,
83.0461,60.7112,49.5,71,355,88,102,83.0461,60.9643,2,0.8,
83.0461,61.32,61,72,360,89,103,83.0461,60.9643,2,0.8,
83.0461,61.32,71,73,365,91,104,83.0461,60.9643,2,0.8,
83.0461,61.7729,45.5,74,370,92,106,83.0461,60.9643,2,0.8,
83.0461,61.7729,42.5,75,375,93,107,83.0461,60.9643,2,0.8,
83.0461,61.32,69.5,76,380,94,108,83.0461,60.9643,2,0.8,
83.0461,61.32,44,77,385,96,109,83.0461,60.9643,1,0.8,
83.0461,61.32,52.5,78,390,97,111,83.0461,60.9643,1,0.8,
83.0461,62.2864,52.5,79,395,98,112,70.8248,60.9643,2,0.65,
83.0461,61.5206,61.5,80,400,99,113,70.8248,60.9643,1,0.65,
83.0461,63.0041,88,81,405,101,114,70.8248,51.1039,1,0.65,
83.0461,65.4443,61,82,410,102,116,70.8248,51.1039,2,0.65,
83.0461,65.4443,64.5,83,415,103,117,70.8248,51.1039,1,0.65,
83.0461,65.4443,69.5,84,420,104,118,70.8248,51.1039,2,0.65,
83.0461,66.4502,61,85,425,106,119,70.8248,51.1039,1,0.65,
83.0461,70.0413,63.5,86,430,107,121,70.8248,51.1039,2,0.65,
83.0461,65.9555,61.5,87,435,108,122,70.8248,51.1039,1,0.65,
83.0461,70.0413,66.5,88,440,109,123,70.8248,51.1039,1,0.65,
83.0461,70.6353,43,89,445,111,124,70.8248,51.1039,2,0.65,
83.0461,71.5035,50,90,450,112,126,70.8248,51.1039,1,0.65,
83.0461,71.9245,75,91,455,113,127,70.8248,51.1039,2,0.65,
83.0461,71.9245,66.5,92,460,114,128,70.8248,51.1039,1,0.65,
83.0461,80.2058,67,93,465,116,129,70.8248,51.1039,2,0.65,
83.0461,81.1805,68,94,470,117,131,70.8248,51.1039,2,0.65,
83.0461,81.351,50,95,475,118,132,70.8248,51.1039,2,0.65,
83.0461,81.351,67.5,96,480,119,133,70.8248,51.1039,2,0.65,
83.0461,79.7029,47.5,97,485,121,134,70.8248,51.1039,2,0.65,
70.8248,79.7029,51,98,490,122,136,70.8248,38.8825,2,0.65,
70.8248,80.2058,43.5,99,495,123,137,70.8248,38.8825,1,0.65,
70.8248,80.2058,50,100,500,124,138,70.8248,38.8825,2,0.65,
70.8248,78.8999,46.5,101,505,126,139,70.8248,38.8825,2,0.65,
70.8248,76.0853,71.5,102,510,127,141,70.8248,38.8825,2,0.65,
70.8248,67.8803,64.5,103,515,128,142,70.8248,38.8825,2,0.65,
70.8248,60.9643,49.5,104,520,129,143,70.8248,38.8825,2,0.65,
70.8248,60.9643,51,105,525,131,144,70.8248,38.8825,2,0.65,
70.8248,56.6933,37,106,530,132,146,70.8248,38.8825,2,0.65,
70.8248,61.9483,40.5,107,535,133,147,70.8248,38.8825,1,0.65,
