"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
-80.4077,-77.9759,-63,1,5,1,14,-80.4077,-80.4077,2,0.5,
-80.4077,-78.5903,-52,2,10,2,16,-80.4077,-80.4077,2,0.5,
-80.4077,-79.8532,-61,3,15,3,17,-80.4077,-80.4077,1,0.5,
-80.4077,-78.5903,-68.5,4,20,4,18,-80.4077,-80.4077,2,0.5,
-80.4077,-78.9991,-73.5,5,25,6,19,-80.4077,-80.4077,2,0.5,
-80.4077,-78.5903,-76,6,30,7,21,-80.4077,-80.4077,2,0.5,
-80.4077,-78.5903,105,7,35,8,22,-80.4077,-80.4077,1,0.5,
-80.4077,-76.3904,-69.5,8,40,9,23,-80.4077,-80.4077,2,0.5,
-80.4077,-76.3904,-68.5,9,45,11,24,-80.4077,-80.4077,2,0.5,
-80.4077,-76.3904,-78.5,10,50,12,26,-80.4077,-80.4077,2,0.5,
-80.4077,-76.9537,-76.5,11,55,13,27,-80.4077,-80.4077,2,0.5,
-80.4077,-77.2898,-81,12,60,14,28,-80.4077,-80.4077,2,0.5,
-80.4077,-77.2898,-76.5,13,65,16,29,-80.4077,-80.4077,2,0.5,
-80.4077,-78.286,-75,14,70,17,31,-80.4077,-80.4077,1,0.5,
-80.4077,-77.7033,-82,15,75,18,32,-80.4077,-80.4077,1,0.5,
-80.4077,-76.9537,98,16,80,19,33,-80.4077,-80.4077,2,0.5,
-80.4077,-76.9537,107,17,85,21,34,-80.4077,-80.4077,2,0.5,
-80.4077,-76.9537,-80.5,18,90,22,36,-80.4077,-101.4581,1,0.5,
-80.4077,-74.2126,-74.5,19,95,23,37,-80.4077,-101.4581,2,0.5,
-80.4077,-75.0298,-75,20,100,24,38,-80.4077,-101.4581,1,0.5,
-80.4077,-75.2759,-79.5,21,105,26,39,-80.4077,-101.4581,1,0.5,
-80.4077,-74.7953,-83.5,22,110,27,41,-80.4077,-101.4581,1,0.5,
-80.4077,-68.1843,-87.5,23,115,28,42,-80.4077,-101.4581,1,0.5,
-80.4077,-68.9559,-88,24,120,29,43,-80.4077,-101.4581,2,0.5,
-80.4077,-69.5827,-87.5,25,125,31,44,-80.4077,-101.4581,1,0.5,
-80.4077,-76.0475,-86.5,26,130,32,46,-80.4077,-101.4581,1,0.5,
-80.4077,-68.9559,-84,27,135,33,47,-80.4077,-101.4581,2,0.5,
-80.4077,-68.9559,93.5,28,140,34,48,-80.4077,-101.4581,2,0.5,
-80.4077,-68.1843,-88.5,29,145,36,49,-80.4077,-101.4581,2,0.5,
-80.4077,-75.2759,-89,30,150,37,51,-80.4077,-101.4581,2,0.5,
-80.4077,-74.2126,93.5,31,155,38,52,-80.4077,-101.4581,2,0.5,
-80.4077,-75.2759,-88.5,32,160,39,53,-80.4077,-101.4581,2,0.5,
-80.4077,-75.2759,-87,33,165,41,54,-80.4077,-101.4581,2,0.5,
-80.4077,-75.2759,-86.5,34,170,42,56,-80.4077,-101.4581,2,0.5,
-80.4077,-74.2126,-86,35,175,43,57,-80.4077,-101.4581,1,0.5,
-80.4077,-74.2126,-85,36,180,44,58,-80.4077,-101.4581,2,0.5,
-80.4077,-74.2126,-89.5,37,185,46,59,-80.4077,-101.4581,1,0.5,
-80.4077,-77.2898,91.5,38,190,47,61,-80.4077,-59.3573,2,0.5,
-80.4077,-76.9537,-85,39,195,48,62,-80.4077,-59.3573,2,0.5,
-80.4077,-76.9537,94.5,40,200,49,63,-80.4077,-59.3573,2,0.5,
-80.4077,-78.9991,97.5,41,205,51,64,-80.4077,-59.3573,2,0.5,
-80.4077,-78.5903,-55.5,42,210,52,66,-80.4077,-59.3573,1,0.5,
-80.4077,-78.5903,-50,43,215,53,67,-80.4077,-59.3573,2,0.5,
-80.4077,-78.4632,-52.5,44,220,54,68,-80.4077,-59.3573,2,0.5,
-80.4077,-78.8702,-50,45,225,56,69,-80.4077,-59.3573,2,0.5,
-80.4077,-78.8702,-50.5,46,230,57,71,-80.4077,-59.3573,1,0.5,
-80.4077,-79.3647,132.5,47,235,58,72,-80.4077,-59.3573,2,0.5,
-80.4077,-82.0479,-45.5,48,240,59,73,-80.4077,-59.3573,1,0.5,
