"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
-81.8601,-64.1922,-72,1,5,1,14,-81.8601,-81.8601,2,0.2,
-81.8601,-65.976,-64,2,10,2,16,-81.8601,-81.8601,1,0.2,
-81.8601,-65.976,-77.5,3,15,3,17,-81.8601,-81.8601,2,0.2,
-81.8601,-68.5801,-79,4,20,4,18,-81.8601,-81.8601,1,0.2,
-81.8601,-68.5801,-81,5,25,6,19,-81.8601,-81.8601,2,0.2,
-81.8601,-72.6538,-81.5,6,30,7,21,-81.8601,-81.8601,1,0.2,
-81.8601,-72.6538,-73.5,7,35,8,22,-81.8601,-81.8601,1,0.2,
-81.8601,-72.6538,-78,8,40,9,23,-81.8601,-81.8601,1,0.2,
-81.8601,-72.6538,-76.5,9,45,11,24,-81.8601,-81.8601,2,0.2,
-81.8601,-73.6604,-74.5,10,50,12,26,-81.8601,-81.8601,1,0.2,
-81.8601,-73.6604,-79.5,11,55,13,27,-81.8601,-81.8601,1,0.2,
-81.8601,-72.6538,-83.5,12,60,14,28,-81.8601,-81.8601,1,0.2,
-81.8601,-68.5801,-81.5,13,65,16,29,-81.8601,-81.8601,1,0.2,
-81.8601,-68.5801,-78.5,14,70,17,31,-81.8601,-81.8601,1,0.2,
-81.8601,-68.5801,-79,15,75,18,32,-81.8601,-81.8601,2,0.2,
-81.8601,-68.5801,-81.5,16,80,19,33,-81.8601,-81.8601,1,0.2,
-81.8601,-68.5801,-78.5,17,85,21,34,-81.8601,-81.8601,2,0.2,
-81.8601,-72.6538,-80.5,18,90,22,36,-81.8601,-81.8601,1,0.2,
-81.8601,-72.6538,-77.5,19,95,23,37,-81.8601,-81.8601,1,0.2,
-81.8601,-72.6538,-80.5,20,100,24,38,-81.8601,-81.8601,1,0.2,
-81.8601,-72.6538,-79,21,105,26,39,-81.8601,-41.6299,2,0.2,
-81.8601,-80.316,-61.5,22,110,27,41,-81.8601,-41.6299,1,0.2,
-81.8601,-81.3737,-51,23,115,28,42,-81.8601,-41.6299,1,0.2,
-81.8601,-81.3737,-49.5,24,120,29,43,-81.8601,-41.6299,2,0.2,
-81.8601,-80.5935,-56,25,125,31,44,-81.8601,-41.6299,1,0.2,
-81.8601,-80.5935,-40,26,130,32,46,-81.8601,-41.6299,1,0.2,
-81.8601,-80.5935,-32,27,135,33,47,-81.8601,-41.6299,1,0.2,
-81.8601,-80.5935,-35.5,28,140,34,48,-81.8601,-41.6299,1,0.2,
-81.8601,-80.5935,-41,29,145,36,49,-81.8601,-41.6299,1,0.2,
-81.8601,-80.5935,-34.5,30,150,37,51,-81.8601,-41.6299,1,0.2,
-81.8601,-78.0732,-40,31,155,38,52,-81.8601,-41.6299,1,0.2,
-81.8601,-80.5935,-32.5,32,160,39,53,-81.8601,-41.6299,1,0.2,
-81.8601,-80.5935,-48.5,33,165,41,54,-81.8601,-41.6299,1,0.2,
-81.8601,-80.5935,-56,34,170,42,56,-81.8601,-41.6299,1,0.2,
-81.8601,-80.5935,-41.5,35,175,43,57,-81.8601,-41.6299,1,0.2,
-81.8601,-82.4813,-40,36,180,44,58,-81.8601,-41.6299,2,0.2,
-81.8601,-92.3458,-47,37,185,46,59,-81.8601,-41.6299,1,0.2,
-81.8601,-92.3458,-48,38,190,47,61,-81.8601,-41.6299,1,0.2,
-81.8601,-90.9998,-53,39,195,48,62,-81.8601,-41.6299,2,0.2,
-81.8601,-92.3458,-62.5,40,200,49,63,-81.8601,-41.6299,1,0.2,
-81.8601,-92.3458,-47,41,205,51,64,-81.8601,-41.6299,1,0.2,
-81.8601,-92.3458,-55,42,210,52,66,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-61.5,43,215,53,67,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-61,44,220,54,68,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-63.5,45,225,56,69,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-67,46,230,57,71,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-68,47,235,58,72,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-72.5,48,240,59,73,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-75,49,245,61,74,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-69,50,250,62,76,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-68,51,255,63,77,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-73.5,52,260,64,78,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-68.5,53,265,66,79,-81.8601,-70.7273,1,0.2,
-81.8601,-92.3458,-69.5,54,270,67,81,-81.8601,-70.7273,1,0.2,
-81.8601,-61.745,-70.5,55,275,68,82,-81.8601,-70.7273,1,0.2,
-81.8601,-61.745,-59,56,280,69,83,-81.8601,-70.7273,1,0.2,
-81.8601,-61.745,-59.5,57,285,71,84,-81.8601,-70.7273,1,0.2,
-81.8601,-61.745,-55.5,58,290,72,86,-81.8601,-70.7273,1,0.2,
-81.8601,-61.745,-59,59,295,73,87,-81.8601,-70.7273,1,0.2,
-81.8601,-61.745,-56.5,60,300,74,88,-81.8601,-70.7273,1,0.2,
-81.8601,-61.745,-55.5,61,305,76,89,-81.8601,-70.7273,1,0.2,
-81.8601,-61.745,-54,62,310,77,91,-81.8601,-70.7273,2,0.2,
-81.8601,-90.9998,-60,63,315,78,92,-81.8601,-70.7273,1,0.2,
-81.8601,-89.0452,-60.5,64,320,79,93,-81.8601,-70.7273,1,0.2,
-81.8601,-87.2069,-55,65,325,81,94,-81.8601,-52.7627,1,0.2,
-81.8601,-85.5558,-56,66,330,82,96,-81.8601,-52.7627,1,0.2,
-81.8601,-84.0772,-53,67,335,83,97,-81.8601,-52.7627,1,0.2,
-81.8601,-89.0452,-57.5,68,340,84,98,-81.8601,-52.7627,1,0.2,
-81.8601,-88.1032,-52.5,69,345,86,99,-81.8601,-52.7627,1,0.2,
-81.8601,-88.1032,-55,70,350,87,101,-81.8601,-52.7627,1,0.2,
-81.8601,-87.2069,-54.5,71,355,88,102,-81.8601,-52.7627,1,0.2,
-81.8601,-89.6939,-57.5,72,360,89,103,-81.8601,-52.7627,1,0.2,
-81.8601,-89.0452,-53,73,365,91,104,-81.8601,-52.7627,1,0.2,
-81.8601,-88.4124,-53.5,74,370,92,106,-81.8601,-52.7627,1,0.2,
-81.8601,-87.7991,-49,75,375,93,107,-81.8601,-52.7627,1,0.2,
-81.8601,-87.2069,-49.5,76,380,94,108,-81.8601,-52.7627,1,0.2,
-81.8601,-67.4158,-48.5,77,385,96,109,-81.8601,-52.7627,1,0.2,
-81.8601,-68.045,-36.5,78,390,97,111,-81.8601,-52.7627,1,0.2,
-81.8601,-66.2367,-35.5,79,395,98,112,-81.8601,-52.7627,2,0.2,
-81.8601,-67.8871,-55,80,400,99,113,-81.8601,-52.7627,1,0.2,
-81.8601,-66.0142,-49.5,81,405,101,114,-81.8601,-52.7627,1,0.2,
-81.8601,-63.971,-35.5,82,410,102,116,-81.8601,-52.7627,1,0.2,
-81.8601,-61.745,-50.5,83,415,103,117,-81.8601,-52.7627,2,0.2,
-81.8601,-59.2978,-51.5,84,420,104,118,-81.8601,-52.7627,1,0.2,
-81.8601,-58.4444,-49,85,425,106,119,-41.6299,-52.7627,1,0.8,
-81.8601,-59.4085,-54,86,430,107,121,-41.6299,-52.7627,1,0.8,
-81.8601,-57.5219,-59,87,435,108,122,-41.6299,-52.7627,2,0.8,
-81.8601,-57.5219,-55,88,440,109,123,-41.6299,-61.745,2,0.8,
-81.8601,-57.5219,-59.5,89,445,111,124,-41.6299,-61.745,2,0.8,
-81.8601,-57.5219,-69,90,450,112,126,-41.6299,-61.745,2,0.8,
-81.8601,-57.5219,-65,91,455,113,127,-41.6299,-61.745,1,0.8,
-81.8601,-54.8224,-65.5,92,460,114,128,-41.6299,-61.745,2,0.8,
-81.8601,-54.8224,-63,93,465,116,129,-41.6299,-61.745,1,0.8,
-81.8601,-83.6182,-64,94,470,117,131,-41.6299,-61.745,2,0.8,
-81.8601,-83.6182,-69.5,95,475,118,132,-41.6299,-61.745,1,0.8,
-81.8601,-79.4123,-76,96,480,119,133,-41.6299,-61.745,2,0.8,
-81.8601,-79.4123,-58.5,97,485,121,134,-41.6299,-61.745,2,0.8,
-81.8601,-79.4123,-60,98,490,122,136,-41.6299,-61.745,2,0.8,
-81.8601,-79.4123,-63.5,99,495,123,137,-41.6299,-61.745,2,0.8,
-81.8601,-79.4123,-75,100,500,124,138,-41.6299,-61.745,2,0.8,
-81.8601,-78.9321,-59.5,101,505,126,139,-41.6299,-61.745,1,0.8,
-81.8601,-71.0898,-56,102,510,127,141,-41.6299,-61.745,2,0.8,
-81.8601,-41.0087,-62,103,515,128,142,-41.6299,-61.745,1,0.8,
-81.8601,-31.1442,-58.5,104,520,129,143,-41.6299,-70.7273,2,0.8,
-41.6299,-32.4902,-66.5,105,525,131,144,-41.6299,-70.7273,2,0.8,
-41.6299,-34.4448,-67,106,530,132,146,-41.6299,-70.7273,2,0.8,
-41.6299,-31.6099,-58.5,107,535,133,147,-41.6299,-70.7273,2,0.8,
-41.6299,-31.1442,-57,108,540,134,148,-41.6299,-70.7273,2,0.8,
-41.6299,-31.1442,-61.5,109,545,136,149,-41.6299,-70.7273,2,0.8,
-41.6299,-31.1442,-68,110,550,137,151,-41.6299,-70.7273,2,0.8,
-41.6299,-31.1442,-56,111,555,138,152,-41.6299,-70.7273,2,0.8,
-41.6299,-31.1442,-61.5,112,560,139,153,-41.6299,-70.7273,2,0.8,
-41.6299,-31.1442,-58,113,565,141,154,-41.6299,-70.7273,2,0.8,
-41.6299,-31.1442,-68,114,570,142,156,-41.6299,-70.7273,2,0.8,
-41.6299,-31.1442,-61.5,115,575,143,157,-41.6299,-70.7273,2,0.8,
-41.6299,-31.1442,-65.5,116,580,144,158,-41.6299,-70.7273,2,0.8,
-41.6299,-31.6099,-63.5,117,585,146,159,-41.6299,-70.7273,2,0.8,
-41.6299,-31.6099,-69.5,118,590,147,161,-41.6299,-70.7273,2,0.8,
-41.6299,-31.6099,-65,119,595,148,162,-41.6299,-70.7273,2,0.8,
-41.6299,-31.1442,-64.5,120,600,149,163,-41.6299,-70.7273,2,0.8,
-41.6299,-31.3793,-59,121,605,151,164,-41.6299,-61.745,2,0.8,
-41.6299,-31.3793,-60,122,610,152,166,-41.6299,-61.745,2,0.8,
-41.6299,-31.8808,-61,123,615,153,167,-41.6299,-61.745,2,0.8,
-41.6299,-31.8808,-59,124,620,154,168,-41.6299,-61.745,2,0.8,
