"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
15.7478,19.6259,27,1,5,1,14,15.7478,15.7478,1,0.35,
15.7478,19.6259,10.5,2,10,2,16,15.7478,15.7478,2,0.35,
15.7478,16.2273,13.5,3,15,3,17,15.7478,15.7478,2,0.35,
15.7478,11.7819,8.5,4,20,4,18,15.7478,15.7478,1,0.35,
15.7478,16.4395,-0.5,5,25,6,19,15.7478,15.7478,1,0.35,
15.7478,16.4395,6,6,30,7,21,15.7478,15.7478,1,0.35,
15.7478,16.4395,29,7,35,8,22,15.7478,15.7478,1,0.35,
15.7478,16.4395,32.5,8,40,9,23,15.7478,15.7478,1,0.35,
15.7478,24.201,30.5,9,45,11,24,15.7478,15.7478,2,0.35,
15.7478,17.9865,19,10,50,12,26,15.7478,15.7478,1,0.35,
15.7478,17.9865,13.5,11,55,13,27,15.7478,15.7478,1,0.35,
15.7478,19.7906,32.5,12,60,14,28,15.7478,15.7478,1,0.35,
15.7478,24.6937,6,13,65,16,29,15.7478,15.7478,1,0.35,
15.7478,24.6937,29.5,14,70,17,31,15.7478,15.7478,1,0.35,
15.7478,24.6937,23,15,75,18,32,15.7478,15.7478,1,0.35,
15.7478,24.6937,18,16,80,19,33,15.7478,15.7478,1,0.35,
15.7478,27.2063,20,17,85,21,34,15.7478,15.7478,1,0.35,
15.7478,27.2063,17,18,90,22,36,15.7478,15.7478,1,0.35,
15.7478,27.2063,20,19,95,23,37,15.7478,15.7478,2,0.35,
15.7478,27.2063,14.5,20,100,24,38,15.7478,15.7478,1,0.35,
15.7478,29.9242,25.5,21,105,26,39,15.7478,15.7478,1,0.35,
15.7478,33.0317,14.5,22,110,27,41,15.7478,15.7478,1,0.35,
15.7478,33.0317,27,23,115,28,42,15.7478,15.7478,1,0.35,
15.7478,33.0317,45,24,120,29,43,15.7478,15.7478,2,0.35,
15.7478,29.9242,41,25,125,31,44,15.7478,49.5727,1,0.35,
15.7478,29.9242,39.5,26,130,32,46,15.7478,49.5727,1,0.35,
15.7478,29.9242,39.5,27,135,33,47,15.7478,49.5727,2,0.35,
15.7478,27.2063,38.5,28,140,34,48,15.7478,49.5727,2,0.35,
15.7478,24.6937,43.5,29,145,36,49,15.7478,49.5727,1,0.35,
15.7478,24.6937,39.5,30,150,37,51,15.7478,49.5727,1,0.35,
15.7478,27.2063,47,31,155,38,52,15.7478,49.5727,1,0.35,
15.7478,27.2063,40,32,160,39,53,15.7478,49.5727,2,0.35,
15.7478,22.4099,50.5,33,165,41,54,15.7478,49.5727,1,0.35,
