"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
70.1929,95.9134,82,1,5,1,14,70.1929,70.1929,1,0.2,
70.1929,95.9134,-68.5,2,10,2,16,70.1929,70.1929,2,0.2,
70.1929,93.3534,88.5,3,15,3,17,70.1929,70.1929,1,0.2,
70.1929,94.1363,117,4,20,4,18,70.1929,70.1929,1,0.2,
70.1929,94.1363,85.5,5,25,6,19,70.1929,70.1929,1,0.2,
70.1929,94.1363,90,6,30,7,21,70.1929,70.1929,1,0.2,
70.1929,92.8172,67,7,35,8,22,70.1929,70.1929,2,0.2,
70.1929,92.8172,-71,8,40,9,23,70.1929,70.1929,1,0.2,
70.1929,93.5581,-64.5,9,45,11,24,70.1929,70.1929,2,0.2,
70.1929,92.9463,-78.5,10,50,12,26,70.1929,70.1929,2,0.2,
70.1929,93.3534,88.5,11,55,13,27,70.1929,70.1929,1,0.2,
70.1929,94.2378,86.5,12,60,14,28,70.1929,70.1929,2,0.2,
70.1929,94.2378,-85.5,13,65,16,29,70.1929,70.1929,1,0.2,
70.1929,94.7401,-43,14,70,17,31,70.1929,70.1929,1,0.2,
70.1929,95.9835,-83.5,15,75,18,32,70.1929,70.1929,1,0.2,
70.1929,102.8283,125.5,16,80,19,33,70.1929,70.1929,2,0.2,
70.1929,102.4583,79.5,17,85,21,34,70.1929,70.1929,2,0.2,
70.1929,100.506,70,18,90,22,36,70.1929,70.1929,1,0.2,
70.1929,100.506,-71,19,95,23,37,70.1929,70.1929,1,0.2,
70.1929,101.0083,-75,20,100,24,38,70.1929,70.1929,2,0.2,
70.1929,102.4583,77.5,21,105,26,39,70.1929,70.1929,1,0.2,
70.1929,102.4583,-87.5,22,110,27,41,70.1929,103.6955,1,0.2,
70.1929,102.4583,51,23,115,28,42,70.1929,103.6955,2,0.2,
70.1929,101.684,104.5,24,120,29,43,70.1929,103.6955,2,0.2,
70.1929,100.4253,69,25,125,31,44,70.1929,103.6955,1,0.2,
70.1929,101.684,99.5,26,130,32,46,70.1929,103.6955,1,0.2,
70.1929,101.684,-60,27,135,33,47,70.1929,103.6955,2,0.2,
70.1929,102.4118,102.5,28,140,34,48,70.1929,103.6955,1,0.2,
70.1929,102.4118,2,29,145,36,49,70.1929,103.6955,1,0.2,
70.1929,104.2498,87,30,150,37,51,70.1929,103.6955,1,0.2,
70.1929,104.2498,89.5,31,155,38,52,70.1929,103.6955,2,0.2,
70.1929,96.5947,145,32,160,39,53,70.1929,103.6955,2,0.2,
70.1929,96.6885,101.5,33,165,41,54,70.1929,103.6955,1,0.2,
70.1929,98.1507,95.5,34,170,42,56,70.1929,103.6955,2,0.2,
70.1929,98.1507,108,35,175,43,57,70.1929,103.6955,2,0.2,
70.1929,96.5947,121,36,180,44,58,70.1929,103.6955,2,0.2,
70.1929,94.9969,-59.5,37,185,46,59,70.1929,103.6955,2,0.2,
70.1929,94.0353,72,38,190,47,61,70.1929,103.6955,2,0.2,
70.1929,92.3214,91.5,39,195,48,62,70.1929,103.6955,2,0.2,
70.1929,90.5793,-64,40,200,49,63,70.1929,83.0112,1,0.2,
70.1929,92.3214,104,41,205,51,64,70.1929,83.0112,1,0.2,
70.1929,94.9969,70.5,42,210,52,66,70.1929,83.0112,1,0.2,
70.1929,94.9969,-74.5,43,215,53,67,70.1929,83.0112,2,0.2,
70.1929,92.3214,77.5,44,220,54,68,70.1929,83.0112,2,0.2,
70.1929,90.5793,-80.5,45,225,56,69,70.1929,83.0112,1,0.2,
70.1929,92.3214,117.5,46,230,57,71,70.1929,83.0112,1,0.2,
70.1929,92.3214,68,47,235,58,72,70.1929,83.0112,1,0.2,
70.1929,92.3214,79.5,48,240,59,73,70.1929,83.0112,1,0.2,
70.1929,92.3214,72.5,49,245,61,74,70.1929,83.0112,2,0.2,
70.1929,89.7499,-84,50,250,62,76,70.1929,83.0112,1,0.2,
70.1929,89.7499,114,51,255,63,77,70.1929,83.0112,2,0.2,
70.1929,87.9318,89.5,52,260,64,78,70.1929,83.0112,1,0.2,
70.1929,86.1301,51,53,265,66,79,70.1929,83.0112,2,0.2,
70.1929,88.9862,-78,54,270,67,81,70.1929,83.0112,1,0.2,
70.1929,90.5793,88,55,275,68,82,70.1929,83.0112,1,0.2,
70.1929,95.666,113,56,280,69,83,70.1929,83.0112,2,0.2,
70.1929,95.666,-67,57,285,71,84,70.1929,83.0112,2,0.2,
70.1929,93.3534,82.5,58,290,72,86,70.1929,83.0112,2,0.2,
70.1929,90.8642,102,59,295,73,87,70.1929,83.0112,1,0.2,
70.1929,90.8642,82,60,300,74,88,70.1929,83.0112,1,0.2,
70.1929,90.8642,79,61,305,76,89,70.1929,83.0112,2,0.2,
70.1929,90.8642,101,62,310,77,91,70.1929,83.0112,1,0.2,
70.1929,90.8642,82,63,315,78,92,70.1929,93.3534,1,0.2,
70.1929,93.3534,100,64,320,79,93,70.1929,93.3534,2,0.2,
70.1929,87.0852,108,65,325,81,94,70.1929,93.3534,2,0.2,
70.1929,84.2626,-58.5,66,330,82,96,70.1929,93.3534,1,0.2,
70.1929,83.1474,90,67,335,83,97,70.1929,93.3534,1,0.2,
70.1929,84.5966,-3,68,340,84,98,70.1929,93.3534,1,0.2,
70.1929,86.1301,-86.5,69,345,86,99,70.1929,93.3534,2,0.2,
70.1929,84.3691,-89,70,350,87,101,70.1929,93.3534,1,0.2,
70.1929,85.6773,-75.5,71,355,88,102,70.1929,93.3534,1,0.2,
70.1929,87.0852,-85.5,72,360,89,103,70.1929,93.3534,1,0.2,
70.1929,91.1029,83.5,73,365,91,104,70.1929,93.3534,2,0.2,
70.1929,91.1029,-89.5,74,370,92,106,70.1929,93.3534,1,0.2,
70.1929,93.3534,84,75,375,93,107,70.1929,93.3534,1,0.2,
70.1929,94.4458,90,76,380,94,108,70.1929,93.3534,1,0.2,
70.1929,94.4458,-71,77,385,96,109,70.1929,93.3534,2,0.2,
70.1929,93.7318,-89,78,390,97,111,70.1929,93.3534,1,0.2,
70.1929,95.045,-24.5,79,395,98,112,70.1929,93.3534,1,0.2,
70.1929,95.045,84.5,80,400,99,113,70.1929,93.3534,2,0.2,
70.1929,91.7099,79,81,405,101,114,70.1929,93.3534,1,0.2,
70.1929,95.045,-85,82,410,102,116,70.1929,93.3534,1,0.2,
70.1929,96.3055,67.5,83,415,103,117,70.1929,93.3534,1,0.2,
70.1929,97.4314,84,84,420,104,118,70.1929,116.5139,1,0.2,
70.1929,97.4314,73,85,425,106,119,70.1929,116.5139,2,0.2,
70.1929,96.3055,16,86,430,107,121,70.1929,116.5139,1,0.2,
70.1929,97.4314,-55,87,435,108,122,103.6955,116.5139,2,0.65,
70.1929,96.3055,107.5,88,440,109,123,103.6955,116.5139,1,0.65,
70.1929,99.0796,134,89,445,111,124,103.6955,116.5139,2,0.65,
70.1929,99.0796,84.5,90,450,112,126,103.6955,116.5139,1,0.65,
70.1929,103.5593,105.5,91,455,113,127,103.6955,116.5139,2,0.65,
70.1929,102.1101,158.5,92,460,114,128,103.6955,116.5139,2,0.65,
70.1929,102.1101,134.5,93,465,116,129,103.6955,116.5139,1,0.65,
70.1929,108.9902,92,94,470,117,131,103.6955,116.5139,2,0.65,
70.1929,107.2882,90.5,95,475,118,132,103.6955,116.5139,2,0.65,
70.1929,107.2882,107.5,96,480,119,133,103.6955,116.5139,2,0.65,
70.1929,107.2882,93,97,485,121,134,103.6955,116.5139,2,0.65,
70.1929,107.2882,117.5,98,490,122,136,103.6955,116.5139,2,0.65,
70.1929,105.3704,-83.5,99,495,123,137,103.6955,116.5139,2,0.65,
70.1929,96.9569,130.5,100,500,124,138,103.6955,116.5139,1,0.65,
70.1929,103.4476,105,101,505,126,139,103.6955,116.5139,2,0.65,
70.1929,101.5127,-46,102,510,127,141,103.6955,70.1929,2,0.65,
70.1929,101.5127,-83,103,515,128,142,103.6955,70.1929,1,0.65,
70.1929,103.4476,89,104,520,129,143,103.6955,70.1929,1,0.65,
70.1929,103.4476,80,105,525,131,144,103.6955,70.1929,2,0.65,
70.1929,97.568,87,106,530,132,146,103.6955,70.1929,2,0.65,
70.1929,97.568,85.5,107,535,133,147,103.6955,70.1929,2,0.65,
103.6955,95.45,121,108,540,134,148,103.6955,70.1929,1,0.65,
103.6955,97.568,-68,109,545,136,149,103.6955,70.1929,1,0.65,
103.6955,91.2137,75,110,550,137,151,103.6955,70.1929,2,0.65,
103.6955,91.2137,68,111,555,138,152,103.6955,70.1929,1,0.65,
103.6955,91.2137,88,112,560,139,153,103.6955,70.1929,2,0.65,
103.6955,91.2137,-86.5,113,565,141,154,103.6955,70.1929,2,0.65,
103.6955,86.8241,80.5,114,570,142,156,103.6955,70.1929,2,0.65,
103.6955,86.8241,64,115,575,143,157,103.6955,70.1929,1,0.65,
103.6955,86.0996,112.5,116,580,144,158,103.6955,70.1929,2,0.65,
103.6955,86.0996,80.5,117,585,146,159,103.6955,70.1929,1,0.65,
103.6955,88.1817,73.5,118,590,147,161,103.6955,70.1929,1,0.65,
103.6955,88.1817,86.5,119,595,148,162,103.6955,70.1929,2,0.65,
103.6955,88.1817,71.5,120,600,149,163,103.6955,70.1929,2,0.65,
103.6955,61.0222,88.5,121,605,151,164,103.6955,70.1929,2,0.65,
103.6955,59.6696,82,122,610,152,166,103.6955,83.0112,2,0.65,
103.6955,59.6696,82.5,123,615,153,167,103.6955,83.0112,1,0.65,
103.6955,61.0222,80,124,620,154,168,103.6955,83.0112,1,0.65,
103.6955,61.4737,80,125,625,156,169,103.6955,83.0112,1,0.65,
103.6955,60.4169,-79,126,630,157,171,103.6955,83.0112,2,0.65,
103.6955,60.4169,86,127,635,158,172,103.6955,83.0112,2,0.65,
