"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
25.7555,27.9513,27,1,5,1,14,25.7555,25.7555,1,0.5,
25.7555,27.9513,30.5,2,10,2,16,25.7555,25.7555,1,0.5,
25.7555,29.4856,46,3,15,3,17,25.7555,25.7555,1,0.5,
25.7555,27.1254,26,4,20,4,18,25.7555,25.7555,2,0.5,
25.7555,27.1254,27.5,5,25,6,19,25.7555,25.7555,2,0.5,
25.7555,27.1254,25.5,6,30,7,21,25.7555,25.7555,1,0.5,
25.7555,27.1254,26,7,35,8,22,25.7555,25.7555,2,0.5,
25.7555,27.1254,35.5,8,40,9,23,25.7555,25.7555,2,0.5,
25.7555,25.7555,36.5,9,45,11,24,25.7555,25.7555,2,0.5,
25.7555,25.7555,45,10,50,12,26,25.7555,25.7555,1,0.5,
25.7555,29.4856,35.5,11,55,13,27,25.7555,25.7555,1,0.5,
25.7555,29.4856,23.5,12,60,14,28,25.7555,25.7555,2,0.5,
25.7555,30.1985,19,13,65,16,29,25.7555,25.7555,2,0.5,
25.7555,29.4856,29.5,14,70,17,31,25.7555,25.7555,1,0.5,
25.7555,29.4856,41,15,75,18,32,25.7555,25.7555,2,0.5,
25.7555,25.7555,23,16,80,19,33,25.7555,25.7555,2,0.5,
25.7555,27.9513,15.5,17,85,21,34,25.7555,35.3574,1,0.5,
25.7555,30.1985,24.5,18,90,22,36,25.7555,35.3574,1,0.5,
25.7555,30.1985,18,19,95,23,37,25.7555,35.3574,1,0.5,
25.7555,31.4885,21.5,20,100,24,38,25.7555,35.3574,2,0.5,
25.7555,31.4885,26,21,105,26,39,25.7555,35.3574,2,0.5,
25.7555,31.4885,27,22,110,27,41,25.7555,35.3574,2,0.5,
25.7555,31.5751,27,23,115,28,42,25.7555,35.3574,1,0.5,
25.7555,31.5751,36,24,120,29,43,25.7555,35.3574,1,0.5,
25.7555,32.8822,32,25,125,31,44,25.7555,35.3574,1,0.5,
25.7555,32.8822,39.5,26,130,32,46,25.7555,35.3574,2,0.5,
25.7555,32.8822,32,27,135,33,47,25.7555,35.3574,1,0.5,
25.7555,39.1504,17,28,140,34,48,25.7555,35.3574,2,0.5,
25.7555,38.9137,26,29,145,36,49,25.7555,35.3574,2,0.5,
25.7555,38.2416,30.5,30,150,37,51,25.7555,35.3574,1,0.5,
25.7555,38.2416,27,31,155,38,52,25.7555,35.3574,2,0.5,
25.7555,30.9976,33,32,160,39,53,25.7555,35.3574,1,0.5,
25.7555,32.0838,36,33,165,41,54,25.7555,35.3574,2,0.5,
25.7555,30.9976,34,34,170,42,56,25.7555,35.3574,2,0.5,
25.7555,29.793,36.5,35,175,43,57,25.7555,35.3574,1,0.5,
25.7555,30.9976,38.5,36,180,44,58,25.7555,35.3574,2,0.5,
25.7555,31.4885,33.5,37,185,46,59,25.7555,35.3574,2,0.5,
25.7555,30.2094,42,38,190,47,61,25.7555,35.3574,1,0.5,
25.7555,30.9976,52.5,39,195,48,62,25.7555,47.2583,1,0.5,
25.7555,32.0838,48.5,40,200,49,63,25.7555,47.2583,2,0.5,
25.7555,31.4885,48.5,41,205,51,64,25.7555,47.2583,2,0.5,
25.7555,31.5751,40.5,42,210,52,66,25.7555,47.2583,1,0.5,
25.7555,29.0169,41.5,43,215,53,67,25.7555,47.2583,2,0.5,
25.7555,28.4831,45.5,44,220,54,68,25.7555,47.2583,2,0.5,
