"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
52.895,41.6068,44,1,5,1,14,52.895,52.895,1,0.65,
52.895,42.2864,35.5,2,10,2,16,52.895,52.895,1,0.65,
52.895,42.2864,44.5,3,15,3,17,52.895,52.895,1,0.65,
52.895,42.7919,47.5,4,20,4,18,52.895,52.895,2,0.65,
52.895,42.1093,42.5,5,25,6,19,52.895,52.895,1,0.65,
52.895,42.7919,52,6,30,7,21,52.895,52.895,2,0.65,
52.895,42.1093,51.5,7,35,8,22,52.895,52.895,2,0.65,
52.895,42.0434,56.5,8,40,9,23,52.895,52.895,2,0.65,
52.895,41.6497,52.5,9,45,11,24,52.895,52.895,2,0.65,
52.895,40.4136,59,10,50,12,26,52.895,52.895,1,0.65,
52.895,40.9481,42,11,55,13,27,52.895,52.895,2,0.65,
52.895,35.9455,46.5,12,60,14,28,52.895,52.895,1,0.65,
52.895,38.4158,49,13,65,16,29,52.895,52.895,2,0.65,
52.895,38.4158,51,14,70,17,31,52.895,52.895,2,0.65,
52.895,5.2111,39,15,75,18,32,52.895,52.895,1,0.65,
52.895,5.7149,32.5,16,80,19,33,52.895,52.895,2,0.65,
52.895,5.7149,43,17,85,21,34,52.895,52.895,1,0.65,
52.895,6.439,34.5,18,90,22,36,52.895,52.895,2,0.65,
52.895,6.439,41.5,19,95,23,37,52.895,52.895,1,0.65,
52.895,6.8397,35,20,100,24,38,52.895,52.895,2,0.65,
52.895,6.8397,37,21,105,26,39,52.895,52.895,2,0.65,
52.895,5.7149,52,22,110,27,41,52.895,52.895,1,0.65,
52.895,6.8397,35.5,23,115,28,42,52.895,52.895,1,0.65,
52.895,7.2424,39,24,120,29,43,52.895,66.5358,1,0.65,
52.895,8.9071,67.5,25,125,31,44,52.895,66.5358,2,0.65,
52.895,8.9071,43,26,130,32,46,52.895,66.5358,1,0.65,
52.895,9.3669,56,27,135,33,47,52.895,66.5358,2,0.65,
52.895,9.3669,44.5,28,140,34,48,52.895,66.5358,1,0.65,
52.895,11.7315,34,29,145,36,49,52.895,66.5358,2,0.65,
52.895,11.7315,31,30,150,37,51,52.895,66.5358,1,0.65,
52.895,15.0888,35,31,155,38,52,52.895,66.5358,2,0.65,
52.895,11.7315,52,32,160,39,53,52.895,66.5358,1,0.65,
52.895,15.0888,39,33,165,41,54,52.895,66.5358,2,0.65,
52.895,15.0888,41.5,34,170,42,56,52.895,66.5358,2,0.65,
52.895,15.0888,33,35,175,43,57,52.895,66.5358,1,0.65,
52.895,55.4758,51,36,180,44,58,52.895,66.5358,2,0.65,
52.895,52.4449,38,37,185,46,59,52.895,66.5358,2,0.65,
52.895,49.5295,50,38,190,47,61,52.895,66.5358,2,0.65,
52.895,46.8146,40.5,39,195,48,62,52.895,66.5358,1,0.65,
52.895,49.5295,43.5,40,200,49,63,52.895,66.5358,2,0.65,
52.895,46.8146,41.5,41,205,51,64,52.895,66.5358,1,0.65,
52.895,49.5295,40,42,210,52,66,52.895,66.5358,2,0.65,
52.895,53.4849,39,43,215,53,67,52.895,66.5358,2,0.65,
52.895,51.5633,42,44,220,54,68,52.895,30.8836,2,0.65,
52.895,46.7123,61,45,225,56,69,52.895,30.8836,1,0.65,
